trip_id,duration_sec,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_number,zip_code,subscriber_type
815510,10159,2015-06-20 19:02:00 UTC,Japantown,9,2015-06-20 21:51:00 UTC,Japantown,9,42,44139,Customer
287843,3514,2014-05-16 23:47:00 UTC,Japantown,9,2014-05-17 00:46:00 UTC,Japantown,9,184,95123,Customer
12073,68,2013-09-06 08:05:00 UTC,Japantown,9,2013-09-06 08:06:00 UTC,Japantown,9,80,95112,Subscriber
422257,8858,2014-08-24 20:22:00 UTC,Japantown,9,2014-08-24 22:49:00 UTC,Japantown,9,15,95112,Subscriber
103447,524,2013-11-21 15:52:00 UTC,Japantown,9,2013-11-21 16:00:00 UTC,Japantown,9,88,95112,Subscriber
73163,9875,2013-10-26 15:17:00 UTC,Japantown,9,2013-10-26 18:01:00 UTC,Japantown,9,686,95164,Customer
956133,1512,2015-10-03 15:48:00 UTC,Japantown,9,2015-10-03 16:13:00 UTC,Japantown,9,660,95123,Customer
617556,291,2015-01-25 14:02:00 UTC,Japantown,9,2015-01-25 14:06:00 UTC,Japantown,9,51,94105,Subscriber
284719,1053,2014-05-14 22:50:00 UTC,Japantown,9,2014-05-14 23:08:00 UTC,Japantown,9,72,95112,Customer
691839,438,2015-03-20 22:25:00 UTC,Japantown,9,2015-03-20 22:33:00 UTC,Japantown,9,43,nil,Customer
